 477: max:0.679, min:0.464, mean:0.612
 478: max:0.679, min:0.500, mean:0.610
 479: max:0.679, min:0.536, mean:0.613
 480: max:0.679, min:0.500, mean:0.619
 481: max:0.714, min:0.500, mean:0.618
 482: max:0.714, min:0.464, mean:0.618
 483: max:0.714, min:0.536, mean:0.625
 484: max:0.679, min:0.500, mean:0.622
 485: max:0.679, min:0.464, mean:0.623
 486: max:0.679, min:0.536, mean:0.624
 487: max:0.679, min:0.500, mean:0.620
 488: max:0.714, min:0.500, mean:0.620
 489: max:0.714, min:0.500, mean:0.613
 490: max:0.714, min:0.536, mean:0.621
 491: max:0.714, min:0.500, mean:0.615
 492: max:0.679, min:0.536, mean:0.618
 493: max:0.679, min:0.500, mean:0.618
 494: max:0.679, min:0.500, mean:0.613
 495: max:0.679, min:0.500, mean:0.611
 496: max:0.679, min:0.536, mean:0.620
 497: max:0.679, min:0.536, mean:0.621
 498: max:0.679, min:0.500, mean:0.609
 499: max:0.679, min:0.500, mean:0.614
 500: max:0.679, min:0.500, mean:0.617
 501: max:0.679, min:0.536, mean:0.618
 502: max:0.679, min:0.500, mean:0.620
 503: max:0.679, min:0.500, mean:0.619
 504: max:0.679, min:0.536, mean:0.625
 505: max:0.679, min:0.536, mean:0.622
 506: max:0.679, min:0.500, mean:0.623
 507: max:0.679, min:0.536, mean:0.626
 508: max:0.679, min:0.536, mean:0.621
 509: max:0.714, min:0.500, mean:0.621
 510: max:0.714, min:0.500, mean:0.616
 511: max:0.714, min:0.500, mean:0.613
 512: max:0.714, min:0.500, mean:0.620
 513: max:0.679, min:0.536, mean:0.618
 514: max:0.679, min:0.500, mean:0.621
 515: max:0.679, min:0.500, mean:0.620
 516: max:0.679, min:0.500, mean:0.613
 517: max:0.679, min:0.464, mean:0.611
 518: max:0.679, min:0.536, mean:0.614
 519: max:0.679, min:0.536, mean:0.612
 520: max:0.679, min:0.500, mean:0.610
 521: max:0.679, min:0.500, mean:0.606
 522: max:0.679, min:0.500, mean:0.610
 523: max:0.679, min:0.500, mean:0.613
 524: max:0.679, min:0.500, mean:0.610
 525: max:0.679, min:0.500, mean:0.601
 526: max:0.679, min:0.500, mean:0.601
 527: max:0.679, min:0.500, mean:0.605
 528: max:0.679, min:0.500, mean:0.599
 529: max:0.679, min:0.500, mean:0.603
 530: max:0.679, min:0.500, mean:0.611
 531: max:0.679, min:0.500, mean:0.614
 532: max:0.714, min:0.464, mean:0.614
 533: max:0.714, min:0.500, mean:0.609
 534: max:0.714, min:0.464, mean:0.612
 535: max:0.714, min:0.500, mean:0.615
 536: max:0.714, min:0.500, mean:0.615
 537: max:0.714, min:0.429, mean:0.615
 538: max:0.714, min:0.500, mean:0.625
 539: max:0.714, min:0.500, mean:0.626
 540: max:0.714, min:0.500, mean:0.629
 541: max:0.714, min:0.536, mean:0.642
 542: max:0.714, min:0.500, mean:0.642
 543: max:0.714, min:0.536, mean:0.639
 544: max:0.714, min:0.464, mean:0.642
 545: max:0.714, min:0.500, mean:0.645
 546: max:0.714, min:0.571, mean:0.643
 547: max:0.714, min:0.500, mean:0.641
 548: max:0.714, min:0.536, mean:0.637
 549: max:0.714, min:0.536, mean:0.640
 550: max:0.714, min:0.536, mean:0.644
 551: max:0.714, min:0.536, mean:0.636
 552: max:0.714, min:0.536, mean:0.637
 553: max:0.714, min:0.536, mean:0.636
 554: max:0.714, min:0.536, mean:0.631
 555: max:0.679, min:0.500, mean:0.626
 556: max:0.679, min:0.536, mean:0.630
 557: max:0.679, min:0.536, mean:0.630
 558: max:0.679, min:0.536, mean:0.628
 559: max:0.679, min:0.536, mean:0.623
 560: max:0.679, min:0.500, mean:0.623
 561: max:0.679, min:0.464, mean:0.626
 562: max:0.679, min:0.500, mean:0.625
 563: max:0.679, min:0.536, mean:0.631
